,header_version,scan_name,scan_time,temperature_system,temperature_detector,humidity,pga,wavelength,intensity,reference,valid_length
0,1,cfg8,2024210232237,33.28,32.29,56.87,2,900.393956,22,4645,220
1,1,cfg8,2024210232237,33.28,32.29,56.87,2,904.328624,29,5304,220
2,1,cfg8,2024210232237,33.28,32.29,56.87,2,909.56808,39,6080,220
3,1,cfg8,2024210232237,33.28,32.29,56.87,2,913.492597,34,6700,220
4,1,cfg8,2024210232237,33.28,32.29,56.87,2,917.412764,12,7448,220
5,1,cfg8,2024210232237,33.28,32.29,56.87,2,921.328581,45,8332,220
6,1,cfg8,2024210232237,33.28,32.29,56.87,2,925.240047,39,9332,220
7,1,cfg8,2024210232237,33.28,32.29,56.87,2,930.448569,53,10850,220
8,1,cfg8,2024210232237,33.28,32.29,56.87,2,934.349885,40,12029,220
9,1,cfg8,2024210232237,33.28,32.29,56.87,2,938.246851,63,13129,220
10,1,cfg8,2024210232237,33.28,32.29,56.87,2,942.139467,49,14203,220
11,1,cfg8,2024210232237,33.28,32.29,56.87,2,946.027732,69,15201,220
12,1,cfg8,2024210232237,33.28,32.29,56.87,2,951.205319,72,16470,220
13,1,cfg8,2024210232237,33.28,32.29,56.87,2,955.083434,77,17417,220
14,1,cfg8,2024210232237,33.28,32.29,56.87,2,958.957199,81,18377,220
15,1,cfg8,2024210232237,33.28,32.29,56.87,2,962.826613,74,19322,220
16,1,cfg8,2024210232237,33.28,32.29,56.87,2,966.691677,84,20265,220
17,1,cfg8,2024210232237,33.28,32.29,56.87,2,971.83833,103,21537,220
18,1,cfg8,2024210232237,33.28,32.29,56.87,2,975.693243,103,22466,220
19,1,cfg8,2024210232237,33.28,32.29,56.87,2,979.543807,123,23337,220
20,1,cfg8,2024210232237,33.28,32.29,56.87,2,983.39002,102,24132,220
21,1,cfg8,2024210232237,33.28,32.29,56.87,2,987.231884,106,24857,220
22,1,cfg8,2024210232237,33.28,32.29,56.87,2,991.069397,121,25523,220
23,1,cfg8,2024210232237,33.28,32.29,56.87,2,996.179314,130,26263,220
24,1,cfg8,2024210232237,33.28,32.29,56.87,2,1000.006676,121,26710,220
25,1,cfg8,2024210232237,33.28,32.29,56.87,2,1003.829689,116,27052,220
26,1,cfg8,2024210232237,33.28,32.29,56.87,2,1007.648351,115,27317,220
27,1,cfg8,2024210232237,33.28,32.29,56.87,2,1011.462663,109,27514,220
28,1,cfg8,2024210232237,33.28,32.29,56.87,2,1016.541645,113,27743,220
29,1,cfg8,2024210232237,33.28,32.29,56.87,2,1020.345806,132,27846,220
30,1,cfg8,2024210232237,33.28,32.29,56.87,2,1024.145618,126,27885,220
31,1,cfg8,2024210232237,33.28,32.29,56.87,2,1027.941079,135,27971,220
32,1,cfg8,2024210232237,33.28,32.29,56.87,2,1031.732189,114,28064,220
33,1,cfg8,2024210232237,33.28,32.29,56.87,2,1036.780237,122,28029,220
34,1,cfg8,2024210232237,33.28,32.29,56.87,2,1040.561197,110,27964,220
35,1,cfg8,2024210232237,33.28,32.29,56.87,2,1044.337807,119,27859,220
36,1,cfg8,2024210232237,33.28,32.29,56.87,2,1048.110067,133,27763,220
37,1,cfg8,2024210232237,33.28,32.29,56.87,2,1051.877977,121,27724,220
38,1,cfg8,2024210232237,33.28,32.29,56.87,2,1056.89509,128,27740,220
39,1,cfg8,2024210232237,33.28,32.29,56.87,2,1060.652849,98,27708,220
40,1,cfg8,2024210232237,33.28,32.29,56.87,2,1064.406258,126,27681,220
41,1,cfg8,2024210232237,33.28,32.29,56.87,2,1068.155317,126,27725,220
42,1,cfg8,2024210232237,33.28,32.29,56.87,2,1071.900025,126,27797,220
43,1,cfg8,2024210232237,33.28,32.29,56.87,2,1076.886203,128,27829,220
44,1,cfg8,2024210232237,33.28,32.29,56.87,2,1080.620761,130,27815,220
45,1,cfg8,2024210232237,33.28,32.29,56.87,2,1084.350969,126,27851,220
46,1,cfg8,2024210232237,33.28,32.29,56.87,2,1088.076827,123,27909,220
47,1,cfg8,2024210232237,33.28,32.29,56.87,2,1091.798335,126,27966,220
48,1,cfg8,2024210232237,33.28,32.29,56.87,2,1096.753578,132,28023,220
49,1,cfg8,2024210232237,33.28,32.29,56.87,2,1100.464935,126,28108,220
50,1,cfg8,2024210232237,33.28,32.29,56.87,2,1104.171942,129,28191,220
51,1,cfg8,2024210232237,33.28,32.29,56.87,2,1107.874598,135,28215,220
52,1,cfg8,2024210232237,33.28,32.29,56.87,2,1111.572905,112,28227,220
53,1,cfg8,2024210232237,33.28,32.29,56.87,2,1116.497213,119,28168,220
54,1,cfg8,2024210232237,33.28,32.29,56.87,2,1120.185369,118,28145,220
55,1,cfg8,2024210232237,33.28,32.29,56.87,2,1123.869175,110,28187,220
56,1,cfg8,2024210232237,33.28,32.29,56.87,2,1127.54863,122,28194,220
57,1,cfg8,2024210232237,33.28,32.29,56.87,2,1131.223736,129,28204,220
58,1,cfg8,2024210232237,33.28,32.29,56.87,2,1136.117109,129,28151,220
59,1,cfg8,2024210232237,33.28,32.29,56.87,2,1139.782064,115,28128,220
60,1,cfg8,2024210232237,33.28,32.29,56.87,2,1143.442669,138,28123,220
61,1,cfg8,2024210232237,33.28,32.29,56.87,2,1147.098923,127,28099,220
62,1,cfg8,2024210232237,33.28,32.29,56.87,2,1150.750827,117,28110,220
63,1,cfg8,2024210232237,33.28,32.29,56.87,2,1154.398381,137,28131,220
64,1,cfg8,2024210232237,33.28,32.29,56.87,2,1159.25502,123,28182,220
65,1,cfg8,2024210232237,33.28,32.29,56.87,2,1162.892423,128,28277,220
66,1,cfg8,2024210232237,33.28,32.29,56.87,2,1166.525477,131,28378,220
67,1,cfg8,2024210232237,33.28,32.29,56.87,2,1170.15418,118,28496,220
68,1,cfg8,2024210232237,33.28,32.29,56.87,2,1173.778533,142,28619,220
69,1,cfg8,2024210232237,33.28,32.29,56.87,2,1178.604236,131,28800,220
70,1,cfg8,2024210232237,33.28,32.29,56.87,2,1182.218439,128,28971,220
71,1,cfg8,2024210232237,33.28,32.29,56.87,2,1185.828291,132,29153,220
72,1,cfg8,2024210232237,33.28,32.29,56.87,2,1189.433793,133,29350,220
73,1,cfg8,2024210232237,33.28,32.29,56.87,2,1193.034945,152,29607,220
74,1,cfg8,2024210232237,33.28,32.29,56.87,2,1197.829714,120,30059,220
